,Unnamed: 0,title,date,stock
6023,186813.0,[[0.41436875]],2014-12-10 09:50:00-05:00,BRK
6022,186812.0,[[0.99998534]],2014-12-12 17:00:00-05:00,BRK
2467,931520.0,[[0.9999997]],2014-12-19 07:00:00-05:00,NVDA
2466,931519.0,[[0.9999987]],2014-12-19 08:18:00-05:00,NVDA
2465,931518.0,[[0.9999438]],2014-12-19 09:20:00-05:00,NVDA
2464,931517.0,[[0.99893093]],2014-12-19 09:28:00-05:00,NVDA
2463,931516.0,[[0.99442476]],2014-12-19 10:51:00-05:00,NVDA
2462,931515.0,[[0.99999934]],2014-12-19 11:53:00-05:00,NVDA
5673,186463.0,[[0.07573066]],2014-12-19 15:25:00-05:00,BRK
2461,931514.0,[[0.99999875]],2014-12-23 08:07:00-05:00,NVDA
2460,931513.0,[[0.9862127]],2015-01-05 15:14:00-05:00,NVDA
2459,931512.0,[[0.99937314]],2015-01-06 09:29:00-05:00,NVDA
2458,931511.0,[[0.9999427]],2015-01-09 09:35:00-05:00,NVDA
2457,931510.0,[[0.9965261]],2015-01-23 10:20:00-05:00,NVDA
5672,186462.0,[[0.99381375]],2015-01-28 11:14:00-05:00,BRK
2456,931509.0,[[0.9642787]],2015-01-29 12:15:00-05:00,NVDA
2455,931508.0,[[0.00298162]],2015-02-08 10:43:00-05:00,NVDA
2454,931507.0,[[1.]],2015-02-09 11:10:00-05:00,NVDA
2453,931506.0,[[0.9997891]],2015-02-11 04:29:00-05:00,NVDA
2452,931505.0,[[0.41808677]],2015-02-11 05:13:00-05:00,NVDA
2451,931504.0,[[0.9972883]],2015-02-11 12:59:00-05:00,NVDA
2450,931503.0,[[0.99999994]],2015-02-11 16:20:00-05:00,NVDA
2448,931501.0,[[0.9999059]],2015-02-11 16:21:00-05:00,NVDA
2449,931502.0,[[0.9820536]],2015-02-11 16:21:00-05:00,NVDA
2447,931500.0,[[0.00062291]],2015-02-11 18:46:00-05:00,NVDA
2446,931499.0,[[0.00508726]],2015-02-12 09:41:00-05:00,NVDA
2445,931498.0,[[0.9929373]],2015-02-12 09:43:00-05:00,NVDA
2444,931497.0,[[0.95271194]],2015-02-12 10:03:00-05:00,NVDA
2443,931496.0,[[0.00170456]],2015-02-12 10:18:00-05:00,NVDA
2442,931495.0,[[0.9999924]],2015-02-12 10:19:00-05:00,NVDA
2441,931494.0,[[0.9998725]],2015-02-12 10:38:00-05:00,NVDA
6021,186811.0,[[0.9999992]],2015-02-19 14:59:00-05:00,BRK
5671,186461.0,[[0.9999992]],2015-02-19 14:59:00-05:00,BRK
6020,186810.0,[[0.9999951]],2015-02-20 11:38:00-05:00,BRK
5670,186460.0,[[0.9999999]],2015-02-25 05:23:00-05:00,BRK
6019,186809.0,[[0.9999999]],2015-02-25 05:23:00-05:00,BRK
2440,931493.0,[[0.02209724]],2015-02-27 10:41:00-05:00,NVDA
5669,186459.0,[[0.998597]],2015-02-28 08:00:00-05:00,BRK
6018,186808.0,[[0.998597]],2015-02-28 08:00:00-05:00,BRK
6017,186807.0,[[0.99997157]],2015-02-28 08:02:00-05:00,BRK
5668,186458.0,[[0.99997157]],2015-02-28 08:02:00-05:00,BRK
5667,186457.0,[[0.9992302]],2015-02-28 08:03:00-05:00,BRK
6016,186806.0,[[0.9992302]],2015-02-28 08:03:00-05:00,BRK
5666,186456.0,[[0.99999136]],2015-02-28 08:05:00-05:00,BRK
6015,186805.0,[[0.99999136]],2015-02-28 08:05:00-05:00,BRK
5665,186455.0,[[0.99872136]],2015-03-02 06:20:00-05:00,BRK
6014,186804.0,[[0.99872136]],2015-03-02 06:20:00-05:00,BRK
2439,931492.0,[[0.9999955]],2015-03-05 05:47:00-05:00,NVDA
2438,931491.0,[[0.99999416]],2015-03-10 06:58:00-04:00,NVDA
2437,931490.0,[[0.00170456]],2015-03-10 10:08:00-04:00,NVDA
2436,931489.0,[[0.9825909]],2015-03-12 09:08:00-04:00,NVDA
2435,931488.0,[[0.99999565]],2015-03-16 08:44:00-04:00,NVDA
2434,931487.0,[[0.97656035]],2015-03-17 11:26:00-04:00,NVDA
2433,931486.0,[[0.9020797]],2015-03-18 16:59:00-04:00,NVDA
2432,931485.0,[[0.98547006]],2015-03-19 06:55:00-04:00,NVDA
2431,931484.0,[[0.99999976]],2015-03-19 10:19:00-04:00,NVDA
2430,931483.0,[[0.01683895]],2015-03-23 06:11:00-04:00,NVDA
2429,931482.0,[[0.0022877]],2015-03-23 10:53:00-04:00,NVDA
2428,931481.0,[[0.02430426]],2015-03-24 07:00:00-04:00,NVDA
